A0,B1,C2,D3,A0,B1,C2,D3,A0,B1,C2,D3,A0,B1,C2,D3,A0,B1,C2,D3,A0,B1,C2,D3
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.06439209
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963745,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
,,,,,,,,,,,,,,,,,,,,3.963684,0.9490967,3.6938477,0.064453125
