A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
0.8387451 3.9273071 3.7791748 0.49230957 3.4421387 0.41888428 3.7910767 0.68536377 3.6592407 0.018310547 0.71435547 0.6109009 0.59106445 0.10333252 3.3846436 0.5111084 3.1348877 0.1027832 3.7582397 0.42730713 3.6096802 0.7028198 3.430603 3.828247 
0.84332275 3.9354248 3.7772217 0.4847412 3.4484253 0.42694092 3.8045044 0.6893921 3.6624146 0.0051879883 0.7050781 0.62353516 0.60198975 0.11315918 3.3951416 0.5088501 3.1333008 0.10510254 3.762024 0.42565918 3.591919 0.6972046 3.4348755 3.8324585 
0.8485718 3.9447632 3.7774658 0.4767456 3.4560547 0.43640137 3.81781 0.69317627 3.666565 3.991394 0.69073486 0.6415405 0.611084 0.12237549 3.4052124 0.50775146 3.13208 0.103515625 3.7662964 0.42596436 3.5846558 0.69696045 3.4355469 3.8480835 
0.85388184 3.9545898 3.7797852 0.46936035 3.4628906 0.44592285 3.829895 0.6954956 3.670288 3.977234 0.6712036 0.66345215 0.618103 0.1272583 3.41333 0.5074463 3.1308594 0.10345459 3.7649536 0.42279053 3.5828247 0.70166016 3.4400635 3.8582153 
0.87994385 0.0927124 3.717163 0.37017822 3.481079 0.46655273 3.852295 0.7008667 3.6776123 3.9464111 0.6257324 0.70825195 0.6345215 0.14404297 3.430359 0.5020752 3.1309204 0.1005249 3.748291 0.41381836 3.5707397 0.70532227 3.449707 3.8755493 
0.8745117 0.0692749 3.7113647 0.38354492 3.4935913 0.477417 3.8638916 0.7050171 3.6734009 3.937317 0.5963135 0.7305908 0.6442261 0.1529541 3.4406128 0.49865723 3.1304932 0.09844971 3.7421875 0.40960693 3.5704346 0.7081299 3.4528809 3.8787842 
0.86743164 0.045532227 3.706543 0.39916992 3.5073853 0.48937988 3.8762817 0.7088623 3.6727905 3.9267578 0.5758667 0.74560547 0.65515137 0.1619873 3.4525146 0.49475098 3.1308594 0.08972168 3.7421265 0.41241455 3.5748901 0.71118164 3.4536133 3.8779297 
0.85931396 0.023376465 3.7024536 0.41522217 3.524231 0.50427246 3.8933105 0.7127075 3.684143 3.911255 0.5701904 0.7531128 0.6687012 0.175354 3.467163 0.48791504 3.1314087 0.07867432 3.7426147 0.4161377 3.5859985 0.7147217 3.4518433 3.8685913 
0.85217285 0.00592041 3.6987305 0.42773438 3.5458374 0.5192871 3.9143066 0.71881104 3.7018433 3.8912964 0.5732422 0.7553711 0.68395996 0.19000244 3.4840698 0.47937012 3.1323853 0.06829834 3.737976 0.41705322 3.5964966 0.71673584 3.4484253 3.861267 
0.8463135 3.9938965 3.6954346 0.43695068 3.5622559 0.5321655 3.930725 0.7213135 3.7166138 3.8693237 0.5751953 0.7561035 0.69921875 0.20233154 3.5025024 0.47174072 3.1351929 0.05621338 3.7266235 0.41741943 3.613037 0.72125244 3.4451904 3.850769 
