A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
3.154358 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2301025 3.4880981 3.4351196 3.518982 3.5668945 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.050720215 3.9052734 3.9086304 3.0407715 0.2501831 
3.154358 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.050720215 3.9052734 3.9086304 3.0407715 0.2501831 
3.154358 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.050720215 3.9052734 3.9086304 3.0407715 0.25024414 
3.154358 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.050720215 3.9052734 3.9086304 3.0407715 0.25024414 
3.154419 3.9257812 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052734 3.9086304 3.0407715 0.2501831 
3.154419 3.9257202 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052734 3.9086304 3.0407715 0.2501831 
3.154419 3.9257202 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9551392 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052734 3.9086304 3.0407715 0.25024414 
3.154358 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9052734 3.9085693 3.0407715 0.25030518 
3.154419 3.9257812 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830322 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9052124 3.9085693 3.0407715 0.25024414 
3.154419 3.9257202 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.4880981 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9052124 3.9085693 3.0407715 0.25024414 
3.154419 3.9257202 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052124 3.9085693 3.0407715 0.25030518 
3.154419 3.9257202 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.519043 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052124 3.9085693 3.0408325 0.25030518 
3.154419 3.9257202 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052124 3.9085693 3.0408325 0.25030518 
3.154419 3.9257202 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351196 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9051514 3.9085693 3.0407715 0.25024414 
3.154419 3.9257812 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177368 0.05078125 3.9052124 3.9085693 3.0407715 0.25024414 
3.154419 3.9257202 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9052124 3.9085693 3.0408325 0.25030518 
3.154419 3.9257202 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9052124 3.9085693 3.0407715 0.25030518 
3.154419 3.9257812 0.49365234 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.05078125 3.9051514 3.9085693 3.0407715 0.25024414 
3.154419 3.9257812 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.050842285 3.9052124 3.9085693 3.0408325 0.25030518 
3.154419 3.9257202 0.49371338 3.8109741 0.28430176 3.5076294 0.28979492 3.2300415 3.488037 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.050842285 3.9052124 3.9085693 3.0408325 0.25030518 
3.154419 3.9257202 0.49371338 3.810852 0.28430176 3.5076294 0.28979492 3.2300415 3.4880981 3.4351807 3.518982 3.5668335 3.9552002 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.050842285 3.9052124 3.9085693 3.0407715 0.25024414 
3.154419 3.9257812 0.49371338 3.810913 0.28430176 3.5076294 0.28979492 3.2300415 3.4880981 3.4351807 3.518982 3.5668335 3.9551392 0.6086426 3.9830933 0.79193115 0.13470459 3.0871582 3.6177979 0.050842285 3.9051514 3.9085693 3.0407715 0.25030518 
