A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
0.36212158 0.44555664 3.7543335 0.7809448 0.50305176 3.404419 0.09161377 3.3804321 3.321228 3.303894 3.8424683 3.8269043 0.23773193 3.4013672 3.9083862 3.2405396 0.9938965 3.8954468 3.9786987 3.9734497 0.8115845 3.9741821 3.9724731 0.5830078 
0.36206055 0.44555664 3.7542725 0.7809448 0.5031128 3.40448 0.091796875 3.3804321 3.32135 3.303772 3.8425293 3.8268433 0.23779297 3.4013672 3.9083252 3.2406006 0.9938965 3.8955078 3.9788208 3.9725342 0.81018066 3.973999 3.9725952 0.58483887 
0.3623047 0.44555664 3.7543335 0.7808838 0.5031128 3.404602 0.09197998 3.380371 3.3214111 3.303711 3.8425903 3.8267822 0.23791504 3.4013672 3.9082642 3.2406006 0.9938965 3.8955688 3.9788818 3.9724731 0.80981445 3.9736938 3.9728394 0.5853882 
0.36212158 0.44543457 3.7542725 0.78100586 0.5031128 3.404663 0.092041016 3.38031 3.3214722 3.30365 3.8426514 3.8267212 0.23797607 3.4013672 3.908142 3.2406006 0.9938965 3.89563 3.9786987 3.9725342 0.8096924 3.9736938 3.9727783 0.5855713 
0.36212158 0.4453125 3.7542725 0.7811279 0.5031128 3.4047852 0.09210205 3.380188 3.3215332 3.3035889 3.8427124 3.8265991 0.23809814 3.4013672 3.908081 3.2406616 0.9938965 3.895691 3.9786377 3.9725952 0.8095093 3.9736938 3.9727173 0.5858154 
0.36212158 0.44525146 3.7542725 0.7811279 0.50305176 3.4047852 0.092163086 3.380188 3.3216553 3.3034668 3.8427734 3.8265991 0.23815918 3.4014282 3.907959 3.2406616 0.9938965 3.895691 3.9785767 3.9726562 0.8093872 3.9736938 3.9726562 0.58599854 
0.36206055 0.4453125 3.7542725 0.7811279 0.5029907 3.4047241 0.092163086 3.380188 3.3217163 3.3034058 3.8428345 3.826538 0.23828125 3.4014282 3.907898 3.2407227 0.9938965 3.895691 3.9785767 3.9727173 0.8092041 3.973755 3.9726562 0.58618164 
0.36206055 0.44537354 3.7542725 0.7810669 0.5029297 3.404663 0.09210205 3.380188 3.3217773 3.3033447 3.8428955 3.826477 0.23840332 3.4014282 3.907837 3.2407227 0.9938965 3.895752 3.9785767 3.9727783 0.80908203 3.973755 3.9726562 0.5864258 
0.36206055 0.44543457 3.7543335 0.7810669 0.5028076 3.404663 0.092163086 3.380127 3.3220215 3.3031006 3.8430786 3.826294 0.23864746 3.4014282 3.9075928 3.2408447 0.9938965 3.895813 3.9784546 3.9729004 0.8086548 3.973816 3.9726562 0.58703613 
0.36206055 0.44543457 3.7543335 0.7810669 0.5028076 3.404663 0.09222412 3.380066 3.3220825 3.3031006 3.8431396 3.826233 0.23876953 3.4014893 3.9075317 3.2409058 0.9939575 3.895813 3.9783936 3.9729614 0.8084717 3.973816 3.9725952 0.58721924 
0.36206055 0.44537354 3.7542725 0.7811279 0.5028076 3.4047241 0.09234619 3.380005 3.3221436 3.3030396 3.8432007 3.8261719 0.2388916 3.4014893 3.9074707 3.2409058 0.9939575 3.895874 3.9783325 3.9730225 0.8083496 3.973816 3.9725342 0.58740234 
0.36206055 0.44537354 3.7542725 0.7811279 0.5027466 3.4047241 0.09234619 3.380005 3.3222046 3.3029175 3.8432617 3.8261108 0.23895264 3.4014893 3.9074097 3.2409668 0.9939575 3.895874 3.9782715 3.9730835 0.8081665 3.973877 3.9725342 0.5876465 
0.36206055 0.44537354 3.7543335 0.7811279 0.5027466 3.4047241 0.09234619 3.380005 3.3222656 3.3028564 3.8433228 3.8260498 0.2390747 3.4014893 3.9072876 3.2409668 0.9939575 3.895935 3.9782104 3.9731445 0.80804443 3.973877 3.9725342 0.5878296 
0.3619995 0.44537354 3.7543335 0.7811279 0.50268555 3.404663 0.09234619 3.3799438 3.3223267 3.3027954 3.8433838 3.8259888 0.23913574 3.4014893 3.9072266 3.2410278 0.9939575 3.895935 3.9782104 3.9732056 0.8078613 3.973877 3.9724731 0.5880127 
0.3619995 0.44543457 3.7543335 0.7811279 0.5026245 3.404663 0.09234619 3.3799438 3.3223877 3.3027344 3.8434448 3.8259277 0.23925781 3.4014893 3.9071655 3.2410278 0.9939575 3.895935 3.9781494 3.9732056 0.80773926 3.973877 3.9724731 0.58825684 
0.3619995 0.44543457 3.7543335 0.7811279 0.5025635 3.404663 0.09234619 3.3798828 3.3224487 3.3026733 3.8435059 3.8258667 0.23931885 3.4014893 3.9071045 3.2410889 0.9939575 3.895935 3.9781494 3.9732666 0.8076172 3.973938 3.9725342 0.58843994 
0.3619995 0.44543457 3.7543335 0.7811279 0.5025635 3.404663 0.09240723 3.3798828 3.3225708 3.3026123 3.843567 3.8258667 0.23944092 3.4015503 3.9070435 3.2410889 0.9939575 3.895935 3.9781494 3.9733276 0.8074341 3.973938 3.9725342 0.5886841 
0.3619995 0.44543457 3.7543335 0.7811279 0.5025635 3.4047241 0.09246826 3.3798828 3.3226318 3.3025513 3.843628 3.8258057 0.23956299 3.4015503 3.9069214 3.24115 0.9939575 3.895935 3.9781494 3.9733887 0.807312 3.973938 3.9725342 0.5888672 
0.3619995 0.44537354 3.7543335 0.7811279 0.5025635 3.4047241 0.0925293 3.3798218 3.3226929 3.3024902 3.843689 3.8257446 0.23962402 3.4015503 3.9068604 3.24115 0.9939575 3.895935 3.9780884 3.9734497 0.8071289 3.973999 3.9725342 0.5890503 
0.36193848 0.44537354 3.7543335 0.7811279 0.50250244 3.4047241 0.09259033 3.3798218 3.322754 3.3024292 3.84375 3.8256836 0.2397461 3.4015503 3.9067993 3.241211 0.9939575 3.895996 3.9780273 3.9735107 0.80700684 3.973999 3.9724731 0.58929443 
0.36193848 0.44537354 3.7543335 0.7811279 0.5024414 3.4047241 0.09259033 3.3797607 3.322815 3.3023682 3.843811 3.8256226 0.23980713 3.4015503 3.9067383 3.241211 0.9939575 3.895996 3.9780273 3.9735718 0.80682373 3.973999 3.972412 0.58947754 
0.36193848 0.44543457 3.7543335 0.7811279 0.5023804 3.4047241 0.09259033 3.3797607 3.322876 3.3023071 3.843811 3.8255615 0.2399292 3.4015503 3.9066162 3.241272 0.9939575 3.8960571 3.9779663 3.9736328 0.80670166 3.97406 3.972412 0.58966064 
0.36193848 0.44543457 3.7543945 0.7811279 0.5023804 3.4047241 0.09259033 3.3796997 3.322937 3.302246 3.843872 3.8255005 0.24005127 3.4016113 3.9065552 3.241272 0.9939575 3.8960571 3.9779053 3.9736938 0.80651855 3.97406 3.972351 0.5899048 
0.36193848 0.44543457 3.7543945 0.7811279 0.50231934 3.4047241 0.09259033 3.3796997 3.322998 3.302185 3.843933 3.8254395 0.2401123 3.4016113 3.9064941 3.241333 0.9939575 3.8960571 3.9779053 3.973755 0.8063965 3.97406 3.972351 0.5900879 
0.36193848 0.44543457 3.7543945 0.7811279 0.50231934 3.4047241 0.09265137 3.3796387 3.323059 3.302124 3.8439941 3.8254395 0.24023438 3.4016113 3.906372 3.241333 0.9939575 3.8960571 3.9779053 3.973755 0.8062744 3.974121 3.972351 0.590271 
