A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
3.1486206 3.9406738 0.49664307 3.8417358 0.2545166 3.5014648 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460083 3.9434204 3.0534058 0.27764893 
3.1486206 3.9406738 0.49658203 3.8417358 0.25457764 3.5014648 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434814 3.0533447 0.27752686 
3.1485596 3.9406738 0.496521 3.8417358 0.25457764 3.5014648 0.29840088 3.2269287 3.4599 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460083 3.9434814 3.0533447 0.27752686 
3.1486206 3.9406738 0.49658203 3.8417358 0.25457764 3.5015259 0.29840088 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460083 3.9434204 3.0534058 0.27770996 
3.1486206 3.9406738 0.49658203 3.8417358 0.2545166 3.5015259 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460083 3.9434204 3.0534668 0.27789307 
3.1486206 3.9406738 0.49658203 3.8417358 0.2545166 3.5014648 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.61035156 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434204 3.0535278 0.27801514 
3.1486206 3.9406738 0.49658203 3.8417358 0.25457764 3.5014648 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434204 3.0534668 0.2779541 
3.1486206 3.9406738 0.49658203 3.8417358 0.25463867 3.5014648 0.29840088 3.2269287 3.459961 3.4024048 3.5700684 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434204 3.0534058 0.27770996 
3.1486206 3.9406738 0.49658203 3.8417358 0.25457764 3.5014648 0.29840088 3.2269287 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460083 3.9434204 3.0533447 0.27752686 
3.1486206 3.9406738 0.49658203 3.8417358 0.2545166 3.5014648 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8459473 3.9434204 3.0534058 0.2775879 
3.1486206 3.9406738 0.49658203 3.8417358 0.2545166 3.5014648 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460083 3.9434204 3.0534058 0.277771 
3.1485596 3.9406738 0.49658203 3.8417358 0.25457764 3.5014648 0.29833984 3.2269287 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434204 3.0534668 0.27789307 
3.1485596 3.9406738 0.496521 3.8417358 0.25457764 3.5014648 0.29840088 3.2269287 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434204 3.0534058 0.27783203 
3.1485596 3.9406738 0.49658203 3.8417358 0.25457764 3.5015259 0.29840088 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434204 3.0533447 0.2775879 
3.1486206 3.9406738 0.49658203 3.8417358 0.2545166 3.5015259 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434814 3.0533447 0.2774048 
3.1486206 3.9406738 0.49658203 3.8417358 0.25457764 3.5015259 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.59198 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460083 3.9434814 3.0533447 0.27752686 
3.1486206 3.9406738 0.49658203 3.8416748 0.25457764 3.5014648 0.29833984 3.2268677 3.4599 3.4024658 3.5700073 3.59198 3.9832153 0.6104126 3.9647827 0.79107666 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434204 3.0534058 0.27770996 
3.1485596 3.9406738 0.496521 3.8416748 0.25457764 3.5015259 0.29833984 3.2268677 3.4599 3.4024658 3.5700073 3.59198 0.79248047 2.9519653 2.3909912 0.14202881 0.14459229 3.0567017 3.7060547 0.053710938 3.8460693 3.9434204 3.0534668 0.2779541 
3.1486206 3.9406738 0.49664307 3.8416748 0.25457764 3.5015259 0.29840088 3.2268677 3.4599 3.4024658 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434204 3.0534058 0.2775879 
3.1485596 3.9407349 0.496521 3.8416748 0.2545166 3.5015259 0.29833984 3.2268066 3.4599 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434204 3.0533447 0.27752686 
3.1484985 3.9406738 0.49645996 3.8416748 0.2545166 3.5015259 0.2982788 3.2268066 3.4599 3.4024048 3.5700073 3.592041 3.9831543 0.61035156 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8460693 3.9434814 3.0534058 0.27770996 
3.1485596 3.9406738 0.49645996 3.8416748 0.25457764 3.5015259 0.29833984 3.2268677 3.4599 3.4024048 3.5700073 3.59198 3.9832153 0.6104126 3.9647217 0.79107666 0.14465332 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534668 0.2779541 
3.1486206 3.9406738 0.49658203 3.8416748 0.25463867 3.5015259 0.29840088 3.2269287 3.4599 3.4024048 3.5700073 3.59198 3.9832153 0.6104126 3.9647827 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534668 0.27801514 
3.1486206 3.9406738 0.49664307 3.8416748 0.25457764 3.5015259 0.29840088 3.2268677 3.4599 3.4024048 3.5700073 3.59198 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534668 0.27783203 
3.1485596 3.9406738 0.496521 3.8416138 0.2545166 3.5015259 0.29833984 3.2268066 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534058 0.277771 
3.1485596 3.9407349 0.49645996 3.8416748 0.2545166 3.5015259 0.29833984 3.2268066 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534058 0.27783203 
3.1485596 3.9407349 0.496521 3.8416748 0.25457764 3.5015259 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9647217 0.79107666 0.14459229 3.0567017 3.7060547 0.053649902 3.8461304 3.9434204 3.0534668 0.2779541 
3.1486206 3.9406738 0.49658203 3.8416748 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461914 3.9434204 3.0534668 0.27789307 
3.1486206 3.9407349 0.49658203 3.8416138 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461914 3.9434204 3.0534058 0.277771 
3.1485596 3.9407349 0.49645996 3.8416138 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461304 3.9434814 3.0534058 0.27770996 
3.1485596 3.9407349 0.49645996 3.8416138 0.2545166 3.5015259 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461304 3.9434204 3.0534058 0.277771 
3.1485596 3.9407349 0.496521 3.8416138 0.2545166 3.5015259 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461304 3.9434204 3.0534668 0.27789307 
3.1486206 3.9407349 0.49658203 3.8416138 0.2545166 3.5015259 0.29833984 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461914 3.9434204 3.0534668 0.2779541 
3.1486206 3.9407349 0.49658203 3.8416138 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9832153 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053649902 3.8461914 3.9434204 3.0534668 0.27801514 
3.1485596 3.9406738 0.496521 3.8416748 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.59198 3.9831543 0.6104126 3.9647217 0.79107666 0.14459229 3.0566406 3.7060547 0.053710938 3.8461304 3.9434204 3.0534668 0.27801514 
3.1485596 3.9406738 0.49645996 3.8416138 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0566406 3.7060547 0.053710938 3.8460693 3.9433594 3.0534668 0.2779541 
3.1485596 3.9406738 0.496521 3.8416138 0.25457764 3.5015259 0.29840088 3.2268677 3.459961 3.4024048 3.5700073 3.592041 3.9831543 0.6104126 3.9646606 0.79107666 0.14459229 3.0566406 3.7060547 0.053710938 3.8460693 3.9433594 3.0534668 0.27783203 
