A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
3.9927368 0.51220703 3.942566 0.85687256 3.7280273 3.7646484 0.5588379 3.2527466 0.711792 0.69451904 0.06976318 0.07733154 3.4448242 0.49591064 0.35021973 0.5684204 3.8683472 0.011413574 3.0220337 0.1618042 0.051635742 3.1087036 3.5523682 0.051818848 
3.9927368 0.51220703 3.942627 0.85687256 3.7279663 3.7647095 0.5588379 3.2527466 0.711792 0.6945801 0.06976318 0.07727051 3.4447021 0.49591064 0.35028076 0.5683594 3.8682861 0.011413574 3.0220337 0.16174316 0.051757812 3.1085815 3.5526733 0.052001953 
3.9927368 0.51220703 3.942627 0.85687256 3.7279663 3.7647095 0.5588379 3.2527466 0.71173096 0.6946411 0.06982422 0.07720947 3.444641 0.4958496 0.3503418 0.5682373 3.868164 0.011413574 3.0220337 0.16174316 0.051879883 3.1084595 3.5529175 0.052124023 
3.9927368 0.51220703 3.942688 0.85687256 3.7279053 3.7647705 0.5588379 3.2527466 0.7116699 0.69470215 0.069885254 0.07720947 3.44458 0.49578857 0.35040283 0.56817627 3.868103 0.011352539 3.0220337 0.16174316 0.052001953 3.1083374 3.5532227 0.052246094 
3.9927368 0.51220703 3.942688 0.85687256 3.7279053 3.7647705 0.5588379 3.2527466 0.7116089 0.6947632 0.06994629 0.07714844 3.444519 0.49578857 0.35046387 0.56811523 3.868103 0.011352539 3.0220337 0.16174316 0.052124023 3.1082764 3.5534668 0.052368164 
3.9927368 0.51226807 3.942688 0.85687256 3.7279053 3.7648315 0.5588989 3.2528076 0.71154785 0.6948242 0.070007324 0.07714844 3.444397 0.49572754 0.3505249 0.5680542 3.868103 0.011352539 3.0220337 0.16168213 0.05218506 3.1081543 3.553711 0.052490234 
3.9927368 0.51226807 3.942749 0.85687256 3.7278442 3.7648315 0.5588989 3.2528076 0.7114868 0.6948242 0.07006836 0.07714844 3.444336 0.4956665 0.35058594 0.56799316 3.868042 0.011352539 3.0220337 0.16168213 0.05230713 3.1080322 3.554016 0.05267334 
3.9927368 0.51226807 3.942749 0.85687256 3.7278442 3.7648926 0.55895996 3.2528076 0.7114868 0.69488525 0.070129395 0.0770874 3.444275 0.49560547 0.35058594 0.5679321 3.867981 0.011352539 3.0220947 0.16168213 0.052368164 3.1078491 3.5542603 0.05279541 
3.9927368 0.51226807 3.942749 0.85687256 3.7278442 3.7649536 0.55895996 3.2528076 0.7114258 0.6949463 0.07019043 0.0770874 3.4441528 0.49554443 0.35064697 0.5678711 3.86792 0.011352539 3.0220947 0.16168213 0.052490234 3.107788 3.5545654 0.05291748 
3.9927368 0.51226807 3.94281 0.85687256 3.7277832 3.7650146 0.55895996 3.2528076 0.71136475 0.6949463 0.070251465 0.07702637 3.4440918 0.49554443 0.350708 0.567749 3.867859 0.011352539 3.0220947 0.16168213 0.052612305 3.107666 3.5548096 0.05303955 
3.9927368 0.51226807 3.94281 0.85687256 3.7277222 3.7650146 0.55895996 3.2528076 0.7113037 0.6950073 0.0703125 0.07702637 3.4440308 0.4954834 0.35076904 0.567688 3.8677368 0.011291504 3.0220947 0.1616211 0.052734375 3.107544 3.5551147 0.05316162 
3.9927368 0.51226807 3.94281 0.85687256 3.7277222 3.7650757 0.55895996 3.2528076 0.7113037 0.69506836 0.070373535 0.07696533 3.4439697 0.49542236 0.35083008 0.56762695 3.8677368 0.011291504 3.0220947 0.1616211 0.052856445 3.1074219 3.555359 0.05328369 
3.9927368 0.51226807 3.942871 0.85687256 3.7276611 3.7651367 0.55895996 3.2528076 0.7112427 0.6951294 0.07043457 0.07696533 3.4438477 0.49542236 0.3508911 0.5675659 3.8676758 0.011291504 3.0220947 0.1616211 0.05291748 3.1072998 3.555603 0.05340576 
3.9927368 0.51226807 3.942871 0.85687256 3.7276611 3.7651978 0.55895996 3.2528076 0.71118164 0.6951904 0.070495605 0.0769043 3.4437866 0.49536133 0.35095215 0.5675049 3.8676758 0.011291504 3.0220947 0.1616211 0.05303955 3.1071777 3.5559082 0.053527832 
3.9927368 0.51226807 3.942871 0.85687256 3.7276 3.7652588 0.55895996 3.2528076 0.7111206 0.69525146 0.070495605 0.0769043 3.4437256 0.4953003 0.35101318 0.56744385 3.8676147 0.011291504 3.0220947 0.16156006 0.053100586 3.1070557 3.5561523 0.053710938 
3.9927368 0.51226807 3.9429321 0.85687256 3.7276 3.7652588 0.559021 3.2528687 0.7110596 0.69525146 0.07055664 0.0769043 3.4436646 0.49523926 0.35107422 0.5673218 3.8675537 0.011291504 3.0220947 0.16156006 0.053222656 3.1069336 3.5564575 0.053833008 
3.9927368 0.51226807 3.9430542 0.85687256 3.727356 3.765625 0.55908203 3.2528687 0.7107544 0.69555664 0.07098389 0.076660156 3.4430542 0.49487305 0.35150146 0.56677246 3.8672485 0.011169434 3.0221558 0.16149902 0.053955078 3.105957 3.5585938 0.054748535 
3.9927368 0.51226807 3.9431152 0.85687256 3.727295 3.765625 0.55908203 3.2528687 0.71069336 0.6956177 0.07104492 0.076660156 3.4429321 0.494812 0.3515625 0.5667114 3.8671875 0.011169434 3.0221558 0.16149902 0.05407715 3.105835 3.558838 0.054870605 
3.9927368 0.51226807 3.9431152 0.85687256 3.727295 3.765686 0.55914307 3.2529297 0.7106323 0.6956787 0.07110596 0.07659912 3.442871 0.494812 0.35162354 0.5666504 3.8671265 0.011169434 3.0221558 0.16149902 0.054138184 3.105713 3.559143 0.054992676 
3.9926758 0.51226807 3.9431152 0.85687256 3.727234 3.765747 0.55914307 3.2529297 0.7105713 0.69573975 0.07116699 0.07659912 3.44281 0.49475098 0.35168457 0.56658936 3.8670654 0.011169434 3.0221558 0.16143799 0.054870605 3.1047363 3.5612793 0.055786133 
3.9926758 0.5123291 3.9432373 0.85687256 3.7270508 3.7660522 0.55926514 3.2529907 0.7102661 0.6960449 0.07159424 0.076416016 3.4421997 0.49432373 0.35217285 0.56604004 3.8666992 0.011108398 3.0221558 0.16137695 0.05493164 3.1046143 3.5615234 0.055908203 
3.9926758 0.5123291 3.9432373 0.85687256 3.7269897 3.7661133 0.55926514 3.2529907 0.7102051 0.69610596 0.07165527 0.076416016 3.4421387 0.4942627 0.3522339 0.565979 3.8666992 0.011108398 3.0221558 0.16137695 0.05505371 3.1044922 3.5618286 0.056030273 
3.9926758 0.5123291 3.9432983 0.8568115 3.7269897 3.7661743 0.5593262 3.2529907 0.7102051 0.69610596 0.07165527 0.07635498 3.4420166 0.49420166 0.35229492 0.56591797 3.8666382 0.011108398 3.0222168 0.16137695 0.055114746 3.10437 3.5620728 0.05609131 
3.9926147 0.5123291 3.9432983 0.8568115 3.7269897 3.7661743 0.5593262 3.2530518 0.71014404 0.696167 0.07171631 0.07635498 3.4419556 0.49414062 0.35235596 0.56585693 3.8665771 0.011108398 3.0222168 0.16131592 0.05517578 3.104248 3.562317 0.05621338 
